code,name,industry,report_period,rev,gross_margin,roa,asset_turnover,inventory_turnover,debt_ratio,operating_cf_ratio,net_profit_yi,net_margin,pe,pb,ps,dividend_yield,market_cap,revenue_2025,gross_margin_2025,roic_2025_raw,revenue_yoy,quality_score,quality_rank,cash_ratio,valuation_score,recommendation_score,valuation_zone,net_profit,roe,revenue_growth
sh600010,包钢股份,钢铁,2026Q1,133.1394497352,6.6000000000000005,,0.09,0.89,59.83042619132407,-13.600000000000001,,,-799.65,2.08,1.67,0.08,1071.86,663.5752400064,9.66092110440734,246333.4677203186,80255826.34757608,,,,,,,,,
sh600019,宝钢股份,钢铁,2026Q1,770.6122074465,6.619999999999999,0.60999999999999,0.21,1.84,37.83002469624415,5.7299999999999995,25.1657089083,2.8899999999999997,12.14,0.59,0.38,3.83,1230.69,3175.0779396666,7.23919800294526,2849876.2168719824,97082618.33594212,9.399408726323085,6.0,,,,,,,
sh600282,南钢股份,钢铁,2026Q1,144.1361538062,11.899999999999999,0.8500000000000001,0.21,1.53,57.50309699921768,4.96,5.885793995299999,4.14,10.21,1.08,0.51,5.35,294.69,579.9443634568,14.07365750305802,4099682.699015792,99413779.2785537,10.11868995920752,2.0,,,,,,,
sh600399,抚顺特钢,钢铁,2026Q1,18.988725778699997,26.0,,0.15,0.54,58.18065901786941,-34.4,,,-10.26,1.58,1.07,0.42,84.8,77.8343066266,0.64756702788914,-6432656.78383144,97585378.00155494,,,,,,,,,
sh600507,方大特钢,钢铁,2026Q1,39.9958979775,8.42,0.52,0.19,2.45,52.81630055850483,9.89,1.0845556359,2.7,12.61,1.03,0.56,4.49,100.85,182.3341535671,9.65195771840054,4834721.139071287,87741976.45192325,9.00820184700168,7.0,,,,,,,
sh600581,*ST八钢,钢铁,2026Q1,32.523737851199996,17.0,,0.12,1.4,107.15443081899593,-16.32,,,-2.19,-1.91,0.22,0.0,40.16,187.4812558699,1.01956745661361,-6716119.165052563,69390910.00129901,,,,,,,,,
sh600808,马钢股份,钢铁,2026Q1,177.1833823,3.1,0.05,0.22,2.21,55.431467368975426,7.9799999999999995,0.97239208,0.24,-929.9,0.86,0.27,0.0,207.92,775.24852312,5.30880653527273,-255430.57402293693,91420170.47581148,7.964227443833555,9.0,,,,,,,
sh601121,宝地矿业,钢铁,2026Q1,2.9438687925,39.79,0.44999999999999996,0.04,1.07,43.37305910597078,-25.900000000000002,0.4119038996999999,12.55,38.24,1.37,3.75,0.0,60.14,16.1189992346,36.06096850059342,1955006.4391338965,73053387.72852309,8.554637982720491,8.0,,,,,,,
sh601969,海南矿业,钢铁,2026Q1,11.9263829,25.779999999999998,1.34,0.08,0.96,48.896732184071354,0.84,1.748999,16.82,37.78,2.61,4.03,1.23,178.08,44.1601451,25.86887265458735,2953679.850876865,108028474.65824687,10.072178319851666,3.0,,,,,,,
sh603878,武进不锈,钢铁,2026Q1,3.0788738824,5.46,,0.08,0.34,33.852015814026274,0.8,,,107.84,1.32,1.58,1.46,34.23,23.3512011309,11.36600687314497,1981196.910526668,52740307.56298542,,,,,,,,,
sz000629,钒钛股份,钢铁,2026Q1,24.7605903296,10.459999999999999,0.49,0.17,2.85,13.56691157137151,6.59,0.8235664627,2.89999999999999,388.35,2.4,3.22,0.0,297.31,88.9021156268,9.00528333690922,-643089.1144208439,111406078.16932765,9.48195093461785,5.0,,,,,,,
sz000709,河钢股份,钢铁,2026Q1,313.00767653270003,9.56,0.12,0.12,1.28,74.63288648415634,11.04,3.9155902179,1.03,19.87,0.42,0.19,1.43,217.08,1181.3725463296,10.65407995660194,368870.96731745376,105981021.6689902,6.6068046780776175,12.0,,,,,,,
sz000932,华菱钢铁,钢铁,2026Q1,294.1186879366,6.29,0.13,0.19,2.24,55.131008370476465,-5.62,3.6809626334,0.67,11.68,0.47,0.22,2.62,262.45,1211.3783657622,9.71419048206778,1757514.9007354754,96632627.64829735,7.145269456478073,10.0,,,,,,,
sz000959,首钢股份,钢铁,2026Q1,250.7802509234,4.64,0.13999999999999999,0.2,2.37,55.701219823996176,-10.52,1.5455426266,0.69,30.83,0.52,0.26,0.66,259.02,1029.1841757291,5.01883965703297,796931.66274527,97467588.12057348,6.838768125517374,11.0,,,,,,,
sz001203,大中矿业,钢铁,2026Q1,8.1360460156,52.23,0.88,0.05,0.49,59.740593699058294,35.97999999999999,1.5759706019,19.37,91.76,8.36,15.43,0.48,613.69,40.8973220933,46.4370883589253,4320124.057047528,79575341.33697797,14.522295213741222,1.0,,,,,,,
sz002478,常宝股份,钢铁,2026Q1,13.3041224981,13.969999999999999,0.76,0.15,0.92,31.17224105334962,5.11,0.6691096892,5.029999999999999,14.19,1.02,1.03,0.0,62.16,,,,,9.535141555941534,4.0,,,,,,,
sz000568,泸州老窖,白酒,2026Q1,80.25,85.82,5.66,0.12,,21.82,,,46.21,12.5,2.41,5.09,7.05,1243.0,,,,,74.92917745730581,,56.61,48.5,36.34065106679332,合理·持有,,,
