report_date,current_ratio_th,year,quarter,code
2011-12-31,6.44,2011,4,603160
2012-12-31,7.17,2012,4,603160
2013-12-31,9.73,2013,4,603160
2014-12-31,7.09,2014,4,603160
2015-06-30,False,2015,2,603160
2015-09-30,False,2015,3,603160
2015-12-31,5.22,2015,4,603160
2016-03-31,2.96,2016,1,603160
2016-06-30,3.73,2016,2,603160
2016-09-30,4.13,2016,3,603160
2016-12-31,6.29,2016,4,603160
2017-03-31,6.59,2017,1,603160
2017-06-30,6.18,2017,2,603160
2017-09-30,4.66,2017,3,603160
2017-12-31,4.45,2017,4,603160
2018-03-31,4.95,2018,1,603160
2018-06-30,3.13,2018,2,603160
2018-09-30,4.40,2018,3,603160
2018-12-31,3.77,2018,4,603160
2019-03-31,4.28,2019,1,603160
2019-06-30,3.03,2019,2,603160
2019-09-30,3.39,2019,3,603160
2019-12-31,4.70,2019,4,603160
2020-03-31,4.35,2020,1,603160
2020-06-30,3.69,2020,2,603160
2020-09-30,3.47,2020,3,603160
2020-12-31,3.66,2020,4,603160
2021-03-31,3.44,2021,1,603160
2021-06-30,3.81,2021,2,603160
2021-09-30,3.91,2021,3,603160
2021-12-31,4.27,2021,4,603160
2022-03-31,4.11,2022,1,603160
2022-06-30,3.89,2022,2,603160
2022-09-30,3.92,2022,3,603160
2022-12-31,4.03,2022,4,603160
2023-03-31,4.32,2023,1,603160
2023-06-30,4.10,2023,2,603160
2023-09-30,4.95,2023,3,603160
2023-12-31,4.19,2023,4,603160
2024-03-31,4.42,2024,1,603160
2024-06-30,4.55,2024,2,603160
2024-09-30,5.11,2024,3,603160
2024-12-31,5.11,2024,4,603160
2025-03-31,5.83,2025,1,603160
2025-06-30,5.96,2025,2,603160
2025-09-30,5.55,2025,3,603160
2025-12-31,4.61,2025,4,603160
2026-03-31,5.31,2026,1,603160
