code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600010,2019,1,0.00924,0.165453,0.03621,-0.234215,0.091846,0.535632,0.630377,0.532483,0.012714,0.351106,1.955660,,,,
sh600010,2019,2,0.019619,0.15526,0.034412,-0.264577,0.206216,1.196775,0.628685,0.553269,-0.005919,-0.172014,2.515628,,,,
sh600010,2019,3,0.022379,0.139844,0.02545,-0.483546,0.315151,1.837506,0.637021,0.630048,-0.020176,-0.792750,1.899302,,,,
sh600010,2019,4,0.012701,0.128612,0.014103,-0.731475,0.428524,2.717282,0.585406,0.607225,-0.006102,-0.432662,1.905469,,,,
sh600010,2020,1,-0.006166,0.115887,-0.020078,-1.544971,0.091251,0.59146,0.573952,0.595051,-0.099539,,0.671994,,,,
sh600010,2020,2,0.001595,0.129404,0.006951,-0.813701,0.194484,1.304986,0.564740,0.589671,0.024433,3.514875,1.447393,,,,
sh600010,2020,3,0.003167,0.12854,0.008303,-0.698074,0.298799,1.974059,0.571798,0.637953,0.048837,5.881630,1.160187,,,,
sh600010,2020,4,0.007696,0.096658,0.011164,-0.259944,0.406895,2.791132,0.572762,0.682397,0.065358,5.854225,1.462407,,,,
sh600010,2021,1,0.013797,0.137674,0.049508,4.26667,0.119164,0.798978,0.581310,0.736060,0.075233,1.519602,2.658088,,,,
sh600010,2021,2,0.050953,0.167286,0.079477,15.130958,0.265128,1.679689,0.579409,0.740904,0.113692,1.430492,5.105821,,,,
sh600010,2021,3,0.068992,0.146194,0.066611,10.832966,0.431615,2.786591,0.569414,0.673505,0.131060,1.967535,3.640108,,,,
sh600010,2021,4,0.053053,0.111824,0.036754,3.787299,0.589911,4.033113,0.566104,0.625594,0.127338,3.464627,3.221502,,,,
sh600010,2022,1,0.005969,0.076529,0.011947,-0.721808,0.135531,0.959531,0.569396,0.647529,0.047018,3.935480,1.537841,,,,
sh600010,2022,2,0.007606,0.084383,0.005343,-0.929998,0.27373,1.933635,0.584397,0.666707,0.041261,7.722607,1.484362,,,,
sh600010,2022,3,-0.013689,0.059059,-0.020408,-1.278655,0.393467,3.012828,0.580896,0.617066,0.021884,,0.216682,,,,
sh600010,2022,4,-0.013556,0.077327,-0.020021,-1.456168,0.489815,3.61215,0.581556,0.564601,0.028638,,0.357057,,,,
sh600010,2023,1,0.005527,0.103558,0.003477,-0.752638,0.116116,0.882653,0.585890,0.563474,0.017888,5.144797,1.413728,,,,
sh600010,2023,2,0.007841,0.107653,0.001863,-0.703386,0.236146,1.892023,0.601723,0.627185,-0.029520,-15.841768,1.451839,,,,
sh600010,2023,3,0.00901,0.102005,0.000766,1.034573,0.356891,2.807565,0.599176,0.620623,-0.020784,-27.117069,1.150808,,,,
sh600010,2023,4,0.009885,0.097185,0.00042,1.020547,0.472804,3.755786,0.595039,0.556477,-0.014010,-33.394993,1.306904,,,,
sh600010,2024,1,0.001226,0.074291,0.000444,-0.867966,0.116564,0.993649,0.597224,0.597093,-0.016806,-37.885188,1.042507,,,,
sh600010,2024,2,0.002082,0.085773,0.000429,-0.772027,0.229588,2.007884,0.006023,0.582879,0.004713,10.976504,1.178727,,,,
sh600010,2024,3,-0.010009,0.078771,-0.013944,-17.931309,0.326964,2.791179,0.006030,0.577976,0.018001,,0.428758,,,,
sh600010,2024,4,0.005102,0.07877,0.000305,-0.299124,0.443722,4.009705,0.006048,0.579791,0.034914,114.574132,1.130315,,,,
sh600010,2025,1,0.000866,0.082506,0.000427,-0.162723,0.100429,0.96428,0.005972,0.563004,-0.063966,-149.758766,1.032087,,,,
sh600010,2025,2,0.002911,0.095594,0.003556,6.36916,0.202857,1.959818,0.006006,0.555045,0.005718,1.608095,1.284832,,,,
sh600010,2025,3,0.004473,0.099901,0.004971,1.343739,0.309594,2.984071,0.006046,0.591005,0.015393,3.096466,1.098273,,,,
sh600010,2025,4,0.007188,0.096609,0.005812,17.58884,0.43258,4.15304,0.594836,0.582087,0.038744,6.665796,1.367910,,,,
sh600019,2019,1,0.015322,0.101682,0.045074,-0.467539,0.193737,1.345275,0.437499,0.957833,0.020727,0.459838,7.624665,,,,
sh600019,2019,2,0.035534,0.11053,0.047539,-0.385655,0.418148,2.899606,0.458085,0.920948,0.066990,1.409176,8.482589,,,,
sh600019,2019,3,0.050508,0.107181,0.044351,-0.440193,0.639125,4.455935,0.455576,0.936136,0.090349,2.037156,7.241071,,,,
sh600019,2019,4,0.070026,0.108791,0.046191,-0.415516,0.865646,6.353418,0.436993,0.984748,0.101182,2.190520,7.800262,,,,
sh600019,2020,1,0.008596,0.104481,0.029447,-0.400709,0.175331,1.202644,0.443872,1.029251,0.060751,2.063068,6.188585,,,,
sh600019,2020,2,0.022584,0.096874,0.03462,-0.369193,0.375855,2.796696,0.460199,1.038176,0.084164,2.431058,8.314523,,,,
sh600019,2020,3,0.043869,0.108101,0.043662,-0.130108,0.576448,4.204986,0.453418,1.076565,0.085333,1.954407,11.080061,,,,
sh600019,2020,4,0.069955,0.10835,0.049301,0.008162,0.817513,6.350708,0.439280,1.134196,0.099002,2.008110,10.779954,,,,
sh600019,2021,1,0.028654,0.145231,0.072322,2.400445,0.230191,1.616243,0.445628,1.166803,0.167807,2.320291,19.836319,,,,
sh600019,2021,2,0.080361,0.159423,0.090498,2.731565,0.504439,3.570073,0.453531,1.090260,0.152070,1.680367,26.431780,,,,
sh600019,2021,3,0.115453,0.155142,0.086611,1.754694,0.736015,4.956962,0.479047,1.130367,0.106050,1.224438,25.038973,,,,
sh600019,2021,4,0.125935,0.132568,0.072609,0.882485,0.991939,7.114428,0.446052,1.086979,0.164317,2.263044,18.368510,,,,
