date,peTTM,pbMRQ,psTTM,code,year,quarter
2023-09-28,37.768593,4.902447,4.367199,sh600559,2023,3
2023-09-28,50.984982,2.866161,6.362975,sh600197,2023,3
2023-09-28,44.604159,4.426556,6.234895,sh603919,2023,3
2023-09-28,28.084953,8.861562,7.140075,sh600779,2023,3
2023-09-28,23.536225,6.151130,6.349957,sh600702,2023,3
2023-09-28,3.795144,0.502149,1.555436,sh601166,2023,3
2023-09-28,3.553355,0.343982,0.978875,sh600015,2023,3
2023-09-28,4.580033,0.578513,1.359211,sh601577,2023,3
2023-09-28,3.384213,0.380266,1.327653,sh601997,2023,3
2023-09-28,3.979654,0.418438,1.211724,sh601818,2023,3
2023-09-28,4.921990,0.536740,1.981916,sh603323,2023,3
2023-09-28,4.452449,0.568777,1.231542,sz000001,2023,3
2023-09-28,4.886203,0.324279,1.202470,sh600016,2023,3
2023-09-28,5.426379,0.663641,2.640904,sh600908,2023,3
2023-09-28,6.717155,0.704508,2.990117,sh601528,2023,3
2023-09-28,5.430244,0.707991,1.995360,sz002839,2023,3
2023-09-28,3.906047,0.421309,1.701022,sh601229,2023,3
2023-09-28,6.278095,0.483475,1.513632,sz002958,2023,3
2023-09-28,5.760533,0.970605,2.416079,sh600036,2023,3
2023-09-28,4.886890,0.582260,2.180442,sz002807,2023,3
2023-09-28,3.850378,0.408147,1.488920,sh601169,2023,3
2023-09-28,4.266680,0.489432,1.339044,sh601998,2023,3
2023-09-28,4.887014,0.464518,1.123657,sh601916,2023,3
2023-09-28,6.701846,0.879447,2.145956,sh601128,2023,3
2023-09-28,6.447029,0.545290,2.420774,sh600928,2023,3
2023-09-28,9.290999,0.638043,2.222362,sz001227,2023,3
2023-09-28,3.942249,0.606312,1.539942,sh600919,2023,3
2023-09-28,4.721886,0.347097,1.150062,sh600000,2023,3
2023-09-28,4.174362,0.406085,1.592472,sh601077,2023,3
2023-09-28,4.395837,0.636175,1.834964,sh601009,2023,3
2023-09-28,5.957157,0.642135,1.716480,sz002948,2023,3
2023-09-28,4.934225,0.761734,1.947403,sh600926,2023,3
2023-09-28,4.701991,0.849487,2.457306,sh601838,2023,3
2023-09-28,4.832354,0.544623,2.186072,sh601825,2023,3
2023-09-28,4.543993,0.492637,1.531952,sh601328,2023,3
2023-09-28,5.956575,0.563175,2.160215,sh601860,2023,3
2023-09-28,5.773798,0.684487,2.091634,sz002966,2023,3
2023-09-28,5.000869,0.629418,1.654030,sh601665,2023,3
2023-09-28,5.621171,0.657948,1.456050,sh601658,2023,3
2023-09-28,4.600604,0.517738,1.838555,sh601398,2023,3
2023-09-28,9.993521,0.450436,1.339583,sz002936,2023,3
2023-09-28,5.420381,0.646952,2.442071,sh601187,2023,3
2023-09-28,7.168073,1.057459,2.927496,sz002142,2023,3
2023-09-28,5.717008,0.617884,2.086237,sh601963,2023,3
2023-09-28,4.779339,0.553954,1.730937,sh601288,2023,3
2023-09-28,4.782996,0.563473,1.920544,sh601939,2023,3
2023-09-28,4.859863,0.524510,1.723253,sh601988,2023,3
2023-09-28,18.183894,5.807368,5.261634,sh603444,2023,3
2023-09-28,19.365134,3.836776,2.994062,sz002555,2023,3
2023-09-28,25.550364,2.057759,10.732559,sz002558,2023,3
2023-09-28,24.182191,5.491390,7.345444,sz002517,2023,3
2023-09-28,-5.364981,1.422130,3.250440,sz002602,2023,3
2023-09-28,-782.322946,4.006689,2.594484,sz300533,2023,3
2023-09-28,27.257811,3.768237,3.667776,sz300002,2023,3
2023-09-28,19.604048,3.614689,2.541752,sz002605,2023,3
2023-09-28,19.334707,1.744905,3.861463,sh600633,2023,3
2023-09-28,-11.081475,2.254567,2.683806,sz300043,2023,3
2023-09-28,-23.047396,2.104141,2.282193,sz300031,2023,3
2023-09-28,41.326711,2.877416,3.120191,sz002624,2023,3
2023-09-28,-23.901064,4.927689,7.229806,sz300113,2023,3
2023-12-28,11.905384,0.664008,0.381859,sh600019,2023,4
2023-12-28,13.036850,0.876336,0.306650,sh600282,2023,4
2023-12-28,31.663888,1.197472,0.578531,sh600507,2023,4
2023-12-28,31.004527,1.864914,8.921139,sh601121,2023,4
2023-12-28,26.742888,1.996172,2.808591,sh601969,2023,4
2023-12-28,12.183192,1.542818,1.196442,sh603878,2023,4
2023-12-28,21.126429,0.426972,0.169762,sz000709,2023,4
2023-12-28,6.660138,0.681458,0.217282,sz000932,2023,4
2023-12-28,109.950775,0.549798,0.245582,sz000959,2023,4
2023-12-28,17.466338,2.854127,4.830002,sz001203,2023,4
2023-12-28,6.581926,0.971188,0.717237,sz002478,2023,4
2023-12-28,20.780470,6.834355,8.943606,sz000568,2023,4
2023-12-28,28.639937,5.983618,6.235759,sz000596,2023,4
2023-12-28,19.828933,4.736974,6.226698,sh603369,2023,4
2023-12-28,24.625907,6.895504,8.278130,sh603198,2023,4
2023-12-28,15.822072,3.190079,4.904280,sz002304,2023,4
2023-12-28,30.437450,9.948773,15.144453,sh600519,2023,4
2023-12-28,27.318898,10.639480,9.236935,sh600809,2023,4
2023-12-28,16.037409,2.909948,4.677231,sh603589,2023,4
2023-12-28,18.411672,4.450898,6.736587,sz000858,2023,4
2023-12-28,34.742863,4.529138,4.080900,sh600559,2023,4
2023-12-28,40.230648,2.801177,5.228174,sh600197,2023,4
2023-12-28,36.706091,3.806277,5.040846,sh603919,2023,4
2023-12-28,24.263332,6.924494,6.393881,sh600779,2023,4
2023-12-28,17.828655,4.670019,4.749285,sh600702,2023,4
2023-12-28,3.622365,0.440916,1.438863,sh601166,2023,4
2023-12-28,3.482197,0.334431,0.981335,sh600015,2023,4
2023-12-28,3.722017,0.462402,1.117531,sh601577,2023,4
2023-12-28,3.149775,0.342253,1.253849,sh601997,2023,4
2023-12-28,3.732586,0.386636,1.168941,sh601818,2023,4
2023-12-28,4.402327,0.490054,1.846110,sh603323,2023,4
2023-12-28,3.781777,0.463194,1.083431,sz000001,2023,4
2023-12-28,4.669392,0.311244,1.168081,sh600016,2023,4
2023-12-28,4.670227,0.577260,2.312813,sh600908,2023,4
2023-12-28,5.692750,0.606436,2.618445,sh601528,2023,4
2023-12-28,4.634792,0.592663,1.791778,sz002839,2023,4
2023-12-28,3.808215,0.403692,1.686461,sh601229,2023,4
2023-12-28,5.654101,0.439036,1.428157,sz002958,2023,4
2023-12-28,4.868971,0.791559,2.074789,sh600036,2023,4
2023-12-28,4.393623,0.527882,2.032974,sz002807,2023,4
2023-12-28,3.728398,0.389481,1.478782,sh601169,2023,4
2023-12-28,3.921300,0.445615,1.257294,sh601998,2023,4
2023-12-28,4.665693,0.436607,1.097575,sh601916,2023,4
2023-12-28,5.529031,0.739337,1.823978,sh601128,2023,4
2023-12-28,5.819486,0.488114,2.200285,sh600928,2023,4
2023-12-28,7.896485,0.533895,1.842492,sz001227,2023,4
2023-12-28,4.042537,0.601718,1.635998,sh600919,2023,4
2023-12-28,5.067129,0.325160,1.103037,sh600000,2023,4
2023-12-28,4.247785,0.407536,1.647412,sh601077,2023,4
2023-12-28,4.105126,0.569411,1.703695,sh601009,2023,4
2023-12-28,5.106254,0.555915,1.502110,sz002948,2023,4
2023-12-28,4.207072,0.659190,1.728863,sh600926,2023,4
2023-12-28,3.758184,0.701072,1.982785,sh601838,2023,4
2023-12-28,4.450548,0.501783,2.081369,sh601825,2023,4
2023-12-28,4.562676,0.480790,1.543152,sh601328,2023,4
2023-12-28,5.510869,0.517295,2.040573,sh601860,2023,4
2023-12-28,5.179314,0.622807,1.989213,sz002966,2023,4
2023-12-28,4.569997,0.585270,1.553853,sh601665,2023,4
2023-12-28,4.956345,0.557453,1.275631,sh601658,2023,4
2023-12-28,4.688651,0.514902,1.901554,sh601398,2023,4
2023-12-28,10.327811,0.418659,1.318948,sz002936,2023,4
