code,name,industry,report_period,rev,gross_margin,roa,asset_turnover,inventory_turnover,debt_ratio,operating_cf_ratio,net_profit_yi,net_margin,pe,pb,ps,dividend_yield,market_cap,revenue_2025,gross_margin_2025,roic_2025_raw,revenue_yoy,quality_score,quality_rank,cash_ratio,valuation_score,recommendation_score,valuation_zone,net_profit,roe,revenue_growth
sh603444,吉比特,游戏,2026Q1,18.47,93.77,5.86,,,21.61,,,,11.57,4.26,3.38,5.99,235.0,,,,,77.78475870068485,,31.39,57.69230769230769,44.87582232731818,合理·持有,,,82.7
sz002555,三七互娱,游戏,2026Q1,37.2,77.88,3.9,,,34.8,,,,12.47,3.06,2.7,5.64,402.0,,,,,63.31582333759192,,9.87,67.49999999999999,42.73818075287453,低估·加仓,,,59.0
sz002558,巨人网络,游戏,2026Q1,23.29,95.38,5.48,,,19.87,,,,18.49,2.88,7.07,1.4,460.0,,,,,82.15040016891008,,56.76,49.42307692307692,40.60125546809594,合理·持有,,,210.6
sz002517,恺英网络,游戏,2026Q1,22.21,80.75,5.9,,,22.44,,,,14.32,3.06,5.07,0.68,310.0,,,,,65.11013717370275,,19.27,55.0,35.810575445536514,合理·持有,,,50.7
sz002602,世纪华通,游戏,2026Q1,110.1,72.05,4.5,,,28.04,,,,17.08,3.37,2.6,0.41,1073.0,,,,,61.17195120138693,,17.63,54.230769230769226,33.17401968998291,合理·持有,,,50.2
sz300533,冰川网络,游戏,2026Q1,5.0,70.0,2.0,,,25.0,,,,17.98,3.98,2.07,9.15,51.0,,,,,56.25120528077402,,15.0,57.88461538461539,32.5607938259865,合理·持有,,,0.0
sz300002,神州泰岳,游戏,2026Q1,14.01,49.89,1.94,,,12.49,,,,20.16,1.89,2.55,1.33,148.0,,,,,46.28225372431504,,13.89,64.80769230769232,29.994460586719555,低估·加仓,,,-28.3
sz002605,姚记科技,游戏,2026Q1,7.89,37.94,2.54,,,28.24,,,,16.82,2.13,2.94,2.66,78.0,,,,,43.64710217591702,,18.34,67.6923076923077,29.54573070369768,低估·加仓,,,-0.6
sh600633,浙数文化,游戏,2026Q1,5.0,55.0,1.5,,,20.0,,,,24.53,1.39,4.62,0.7,144.0,,,,,41.828045430406846,,10.0,58.26923076923077,24.37288031810245,合理·持有,,,0.0
sz300043,星辉娱乐,游戏,2026Q1,3.0,55.0,1.0,,,25.0,,,,14.71,3.3,2.91,0.21,59.0,,,,,39.99525023452104,,10.0,54.80769230769231,21.92047368622788,合理·持有,,,0.0
sz300031,宝通科技,游戏,2026Q1,9.0,55.0,1.5,,,25.0,,,,42.13,2.71,3.02,0.38,111.0,,,,,37.6509003585632,,10.0,49.42307692307692,18.60823344644373,合理·持有,,,0.0
sz002425,凯撒文化,游戏,2026Q1,1.5,50.0,0.3,,,30.0,,,,-5.1,1.13,5.04,0.0,28.0,,,,,35.942188141811975,,3.0,49.59615384615385,17.825942926487134,合理·持有,,,0.0
sh603258,电魂网络,游戏,2026Q1,2.0,60.0,0.5,,,25.0,,,,-13.81,1.7,8.98,0.0,33.0,,,,,40.855805734107136,,5.0,42.67307692307692,17.43442940845841,合理·持有,,,0.0
sz002174,游族网络,游戏,2026Q1,3.0,60.0,1.0,,,25.0,,,,-40.28,2.38,7.87,0.0,108.0,,,,,43.11676694106225,,8.0,39.98076923076923,17.2384150904747,偏高·减仓,,,0.0
sz300315,掌趣科技,游戏,2026Q1,2.0,55.0,0.5,,,20.0,,,,-88.4,2.47,16.05,0.0,116.0,,,,,41.04164380857105,,5.0,34.98076923076923,14.35668270919053,偏高·减仓,,,0.0
sz002624,完美世界,游戏,2026Q1,11.71,66.71,1.0,,,30.17,,,,50.9,4.12,4.79,2.37,270.0,,,,,32.05473707583416,,-12.78,37.88461538461539,12.143813853729482,偏高·减仓,,,-66.0
sz300113,顺网科技,游戏,2026Q1,3.0,65.0,1.0,,,20.0,,,,31.34,5.28,9.36,0.46,133.0,,,,,40.06982961812757,,8.0,29.230769230769237,11.71271942683729,偏高·减仓,,,0.0
sz300418,昆仑万维,游戏,2026Q1,25.7,66.23,-4.44,,,26.79,,,,-28.69,3.83,5.65,0.0,491.0,,,,,36.602490239506885,,3.48,31.90384615384616,11.677602174488833,偏高·减仓,,,-15.3
