code,name,industry,report_period,rev,gross_margin,roa,asset_turnover,inventory_turnover,debt_ratio,operating_cf_ratio,net_profit_yi,net_margin,pe,pb,ps,dividend_yield,market_cap,revenue_2025,gross_margin_2025,roic_2025_raw,revenue_yoy,quality_score,quality_rank,cash_ratio,valuation_score,recommendation_score,valuation_zone,net_profit,roe,revenue_growth
sz000568,泸州老窖,白酒,2026Q1,80.25,85.82,5.66,0.12,,21.82,,,46.21,12.5,2.41,5.09,7.05,1243.0,,,,,74.92917745730581,,56.61,48.5,36.34065106679332,合理·持有,,,
sz000596,古井贡酒,白酒,2026Q1,74.46,77.85,4.08,0.19,,32.97,,,21.58,16.09,1.74,2.65,6.98,455.0,,,,,67.04886902875676,,25.67,52.5,35.200656240097295,合理·持有,,,
sh603369,今世缘,白酒,2026Q1,43.22,74.4,5.19,0.16,,34.73,,,32.04,13.03,1.86,3.25,4.9,306.0,,,,,66.25176138778065,,48.9,49.5,32.794621886951425,合理·持有,,,
sh603198,迎驾贡酒,白酒,2026Q1,22.3,75.6,5.87,0.16,,21.4,,,37.43,13.62,2.36,4.37,4.42,271.0,,,,,72.95084114953897,,50.92,40.5,29.545090665563283,合理·持有,,,
sz002304,洋河股份,白酒,2026Q1,81.86,75.42,4.12,0.14,,18.17,,,29.89,62.27,1.28,3.87,5.52,632.0,,,,,65.38463666902409,,23.68,41.0,26.807701034299875,合理·持有,,,
sh600519,贵州茅台,白酒,2026Q1,539.09,89.91,8.73,0.18,,12.12,,,49.8,18.98,5.86,9.12,4.12,15701.0,,,,,90.62964385234,,49.19,29.5,26.735744936440295,偏高·减仓,,,
sh600809,山西汾酒,白酒,2026Q1,149.23,75.05,8.92,0.25,,29.26,,,36.07,12.98,3.17,3.84,3.08,1426.0,,,,,84.59991216482543,,55.31,31.5,26.648972331920007,偏高·减仓,,,
sh603589,口子窖,白酒,2026Q1,13.75,67.61,2.56,0.11,,17.19,,,23.9,30.14,1.1,3.32,6.59,118.0,,,,,51.00888803220722,,-9.83,44.5,22.69895517433221,合理·持有,,,
sz002646,天佑德酒,白酒,2026Q1,4.06,61.76,1.52,0.13,,10.22,,,11.93,-228.72,1.17,3.13,0.16,34.0,,,,,57.0639775974028,,35.87,38.0,21.684311487013066,偏高·减仓,,,
sz000858,五粮液,白酒,2026Q1,228.38,81.43,4.15,0.12,,34.31,,,35.3,24.37,2.4,6.64,7.26,3071.0,,,,,56.19284533899505,,-11.1,34.5,19.38653164195329,偏高·减仓,,,
sh600559,老白干酒,白酒,2026Q1,12.2,64.1,1.89,0.14,,38.23,,,13.56,24.17,1.95,2.56,4.7,107.0,,,,,49.23768428981133,,29.32,37.5,18.46413160867925,偏高·减仓,,,
sh600197,伊力特,白酒,2026Q1,6.06,51.53,1.69,0.1,,37.81,,,17.3,28.97,1.29,3.35,4.15,51.0,,,,,35.47237394130184,,13.71,41.5,14.721035185640265,合理·持有,,,
sz000860,顺鑫农业,白酒,2026Q1,24.11,37.55,0.86,0.18,,47.67,,,4.8,-24.11,1.12,1.21,1.45,77.0,,,,,27.051014364659714,,-15.42,53.5,14.472292685092947,合理·持有,,,
sh603919,金徽酒,白酒,2026Q1,10.92,62.9,3.82,0.2,,35.48,,,18.73,27.82,2.67,3.12,2.78,90.0,,,,,58.56897026803418,,27.89,20.5,12.006638904947003,偏高·减仓,,,
sh600779,水井坊,白酒,2026Q1,8.16,79.84,2.03,0.1,,36.94,,,20.96,37.18,2.72,4.97,3.27,144.0,,,,,51.79872796695598,,8.61,21.5,11.136726512895535,偏高·减仓,,,
sh600702,舍得酒业,白酒,2026Q1,14.81,66.35,1.79,0.11,,44.12,,,15.63,120.05,1.85,3.01,0.78,130.0,,,,,40.04990233264893,,-6.88,21.5,8.61072900151952,偏高·减仓,,,
sz000799,酒鬼酒,白酒,2026Q1,3.17,67.3,0.68,0.07,,22.03,,,10.46,-403.31,3.47,12.12,1.49,131.0,,,,,41.69799492787976,,-12.38,16.5,6.8801691631001605,极度高估·卖出,,,
sh600199,金种子酒,白酒,2026Q1,1.9,51.09,-0.5,0.06,,35.34,,,-8.01,-25.88,2.33,7.34,0.0,45.0,,,,,20.7866709703356,,-41.45,19.5,4.053400839215441,极度高估·卖出,,,
sz000995,皇台酒业,白酒,2026Q1,0.32,65.15,-0.94,0.06,,67.03,,,-15.1,335.64,11.9,12.07,0.0,20.0,,,,,15.813598166539348,,-107.79,0.0,0.0,极度高估·卖出,,,
