code,name,industry,report_period,rev,gross_margin,roa,asset_turnover,inventory_turnover,debt_ratio,operating_cf_ratio,net_profit_yi,net_margin,pe,pb,ps,dividend_yield,market_cap,revenue_2025,gross_margin_2025,roic_2025_raw,revenue_yoy,quality_score,quality_rank,cash_ratio,valuation_score,recommendation_score,valuation_zone,net_profit,roe,revenue_growth
sh601166,兴业银行,银行,2026Q1,550.9,,0.21,,,,,,,5.16,0.48,1.84,8.61,3996.0,,,,,62.83421031964188,,,75.0,47.1256577397314,低估·加仓,238.8,2.89,
sh600015,华夏银行,银行,2026Q1,285.6,,0.18,,,,,,,4.07,0.34,1.11,5.84,1105.0,,,,,50.2932144820545,,,93.45238095238096,47.0002063909676,极度低估·买入,38.5,2.5,
sh601577,长沙银行,银行,2026Q1,128.1,,0.18,,,,,,,4.73,0.53,1.48,6.4,389.0,,,,,55.899578522997984,,,79.28571428571428,44.32038011466268,低估·加仓,25.3,2.5,
sh601997,贵阳银行,银行,2026Q1,95.7,,0.18,,,,,,,3.97,0.32,1.62,5.23,210.0,,,,,48.4985994397759,,,89.16666666666666,43.24458450046684,极度低估·买入,20.8,2.5,
sh601818,光大银行,银行,2026Q1,425.0,,0.18,,,,,,,4.95,0.37,1.48,5.99,1873.0,,,,,47.84773161601089,,,87.26190476190477,41.75284199349522,极度低估·买入,110.1,2.5,
sh603323,苏农银行,银行,2026Q1,30.6,,0.18,,,,,,,4.66,0.5,2.25,5.32,96.0,,,,,52.65525275530773,,,73.21428571428571,38.5511671958503,低估·加仓,6.8,2.5,
sz000001,平安银行,银行,2026Q1,457.2,,0.18,,,,,,,5.1,0.47,1.62,5.29,2195.0,,,,,48.57536846514307,,,77.02380952380952,37.41459928208044,低估·加仓,121.3,2.5,
sh600016,民生银行,银行,2026Q1,1181.8,,0.18,,,,,,,5.36,0.27,1.08,5.52,1572.0,,,,,42.59851043221027,,,84.64285714285714,36.05659633012083,极度低估·买入,345.6,2.5,
sh600908,无锡银行,银行,2026Q1,23.7,,0.18,,,,,,,5.22,0.52,2.45,5.97,121.0,,,,,51.94319223016309,,,65.71428571428571,34.13409775125003,低估·加仓,5.8,2.5,
sh601528,瑞丰银行,银行,2026Q1,20.5,,0.18,,,,,,,4.76,0.47,2.11,4.41,93.0,,,,,46.23558208330061,,,71.19047619047619,32.9153310545402,低估·加仓,4.3,2.5,
sz002839,张家港行,银行,2026Q1,26.4,,0.18,,,,,,,5.27,0.56,2.21,5.12,105.0,,,,,51.5904997513024,,,61.9047619047619,31.936976036520527,低估·加仓,6.1,2.5,
sh601229,上海银行,银行,2026Q1,241.9,,0.18,,,,,,,5.42,0.53,2.34,5.63,1313.0,,,,,51.246708029006,,,60.35714285714285,30.931048774650048,低估·加仓,66.4,2.5,
sz002958,青农商行,银行,2026Q1,48.5,,0.18,,,,,,,5.13,0.43,1.65,4.07,164.0,,,,,42.1256577397314,,,73.09523809523809,30.79184982404176,低估·加仓,10.7,2.5,
sh600036,招商银行,银行,2026Q1,869.4,,0.29,,,,,,,6.52,0.87,2.85,7.73,9828.0,,,,,86.7745883400089,,,33.09523809523809,28.71825661728865,偏高·减仓,380.5,3.37,
sz002807,江阴银行,银行,2026Q1,27.2,,0.18,,,,,,,5.3,0.55,2.54,4.96,109.0,,,,,50.259836644938346,,,57.02380952380953,28.660073515387467,合理·持有,6.3,2.5,
sh601169,北京银行,银行,2026Q1,245.4,,0.18,,,,,,,5.35,0.39,1.54,3.85,1097.0,,,,,38.12142988036336,,,70.5952380952381,26.911914189351755,低估·加仓,68.2,2.5,
sh601998,中信银行,银行,2026Q1,731.9,,0.18,,,,,,,6.03,0.59,1.98,4.94,4296.0,,,,,47.92005026309589,,,55.0,26.35602764470274,合理·持有,199.3,2.5,
sh601916,浙商银行,银行,2026Q1,198.5,,0.18,,,,,,,6.56,0.46,1.35,5.03,851.0,,,,,39.96722427288673,,,62.61904761904763,25.027095199450503,低估·加仓,53.1,2.5,
sh601128,常熟银行,银行,2026Q1,56.1,,0.18,,,,,,,5.43,0.74,1.98,3.8,236.0,,,,,48.58093143799576,,,47.38095238095238,23.01810799085989,合理·持有,10.9,2.5,
sh600928,西安银行,银行,2026Q1,57.3,,0.18,,,,,,,5.84,0.44,1.43,2.82,157.0,,,,,35.355519778004656,,,64.52380952380952,22.812728237712527,低估·加仓,8.6,2.5,
sz001227,兰州银行,银行,2026Q1,34.8,,0.18,,,,,,,6.57,0.39,1.53,4.76,121.0,,,,,36.34906672949553,,,61.66666666666666,22.41525781652224,低估·加仓,7.1,2.5,
sh600919,江苏银行,银行,2026Q1,344.0,,0.18,,,,,,,6.09,0.81,2.38,4.66,2149.0,,,,,52.52062881227257,,,40.11904761904762,21.07077608301888,合理·持有,82.5,2.5,
sh600000,浦发银行,银行,2026Q1,465.7,,0.18,,,,,,,6.33,0.42,1.79,3.9,3184.0,,,,,34.138395856785074,,,59.34523809523809,20.259512303104,合理·持有,181.7,2.46,
sh601077,渝农商行,银行,2026Q1,163.5,,0.18,,,,,,,6.49,0.59,2.69,4.45,800.0,,,,,43.98480326710123,,,40.595238095238095,17.85573561200181,合理·持有,33.6,2.5,
sh601009,南京银行,银行,2026Q1,227.1,,0.18,,,,,,,6.45,0.76,2.47,4.26,1439.0,,,,,47.50505248828503,,,35.59523809523809,16.90953654047288,偏高·减仓,53.2,2.5,
sz002948,青岛银行,银行,2026Q1,79.4,,0.18,,,,,,,6.32,0.81,2.21,2.7,345.0,,,,,45.37443388570381,,,34.166666666666664,15.502931577615463,偏高·减仓,18.6,2.5,
sh600926,杭州银行,银行,2026Q1,211.6,,0.18,,,,,,,6.12,0.86,3.01,3.98,1201.0,,,,,51.070918086860914,,,29.761904761904763,15.19967800204194,偏高·减仓,55.7,2.5,
sh601838,成都银行,银行,2026Q1,129.8,,0.18,,,,,,,6.23,0.91,3.41,4.51,837.0,,,,,53.65213749051021,,,27.261904761904766,14.626594625389096,偏高·减仓,35.6,2.5,
sh601825,沪农商行,银行,2026Q1,120.6,,0.18,,,,,,,6.99,0.65,3.26,4.85,862.0,,,,,44.02930704992277,,,29.52380952380953,12.999128748072437,偏高·减仓,33.9,2.5,
sh601328,交通银行,银行,2026Q1,696.9,,0.17,,,,,,,6.38,0.53,2.27,2.25,6150.0,,,,,26.83962494655183,,,42.73809523809524,11.470744471204888,合理·持有,263.9,2.04,
sh601860,紫金银行,银行,2026Q1,23.5,,0.18,,,,,,,7.78,0.48,2.31,3.76,97.0,,,,,29.861527788685564,,,36.66666666666666,10.949226855851371,偏高·减仓,5.1,2.5,
sz002966,苏州银行,银行,2026Q1,72.1,,0.18,,,,,,,6.72,0.71,2.83,2.55,368.0,,,,,38.86241786434199,,,27.5,10.687164912694048,偏高·减仓,18.7,2.5,
sh601665,齐鲁银行,银行,2026Q1,94.5,,0.18,,,,,,,6.66,0.78,2.83,3.61,393.0,,,,,43.5475536008796,,,24.404761904761905,10.627676771643234,偏高·减仓,24.2,2.5,
sh601658,邮储银行,银行,2026Q1,961.8,,0.14,,,,,,,6.93,0.59,1.65,2.43,6089.0,,,,,25.94880319729138,,,37.38095238095238,9.69990976660654,偏高·减仓,258.5,2.22,
sh601398,工商银行,银行,2026Q1,2285.8,,0.18,,,,,,,7.37,0.71,3.14,4.04,27372.0,,,,,37.332971194708406,,,24.4047619047619,9.111022732041931,偏高·减仓,876.1,2.33,
sz002936,郑州银行,银行,2026Q1,34.2,,0.18,,,,,,,8.25,0.35,1.23,1.13,161.0,,,,,18.37955182072829,,,46.07142857142857,8.467722088835535,合理·持有,6.5,2.5,
sh601187,厦门银行,银行,2026Q1,37.6,,0.18,,,,,,,7.58,0.75,3.11,3.9,203.0,,,,,39.90325008508076,,,20.654761904761905,8.241921297335132,偏高·减仓,7.7,2.5,
sz002142,宁波银行,银行,2026Q1,220.0,,0.18,,,,,,,7.21,0.93,2.89,3.65,2171.0,,,,,44.90603157150711,,,14.404761904761903,6.468606928752809,极度高估·卖出,60.4,2.5,
sh601963,重庆银行,银行,2026Q1,66.9,,0.18,,,,,,,7.65,0.76,2.85,1.31,445.0,,,,,35.11186156705672,,,16.19047619047619,5.684777587047279,极度高估·卖出,17.4,2.5,
sh601288,农业银行,银行,2026Q1,2062.6,,0.15,,,,,,,7.98,0.84,3.1,3.72,23484.0,,,,,38.21126207492342,,,12.023809523809522,4.594449368532458,极度高估·卖出,755.8,2.65,
sh601939,建设银行,银行,2026Q1,2064.2,,0.19,,,,,,,8.1,0.78,3.46,1.76,27677.0,,,,,33.052708622389765,,,8.273809523809527,2.734718153876297,极度高估·卖出,868.2,2.33,
sh601988,中国银行,银行,2026Q1,1788.2,,0.16,,,,,,,8.17,0.73,2.94,1.76,20042.0,,,,,18.10002225189141,,,14.702380952380953,2.6611342239387965,极度高估·卖出,609.6,1.84,
